//CharacterInfo
index,name,cost,ability,atk,def,hp,speed,atkCooltime,distance
int32,string,int32,List<int32>,float,float,float,float,float,float
1,엘프 궁수,500,1#2#3#5,150,100,150,1,1.1,1
2,엘프 드루이드,2500,1#2#3#5,225,140,300,0.9,1,1
3,엘프 바드,5000,1#2#3#5,337.5,196,600,1.1,0.9,1
4,엘프 정령사,7700,1#2#3#5,506.25,274.4,1200,0.8,0.8,1
5,엘프 수호자,8800,1#2#3#5,759.375,384.16,2400,1.3,0.7,1
6,인간 궁수,500,1#2#3#6,150,100,150,1,1.1,1
7,인간 전사,2500,1#2#3#6,225,140,300,0.9,1,1
8,인간 방패병,5000,1#2#3#6,337.5,196,600,1.1,0.9,1
9,인간 거너,7700,1#2#3#6,506.25,274.4,1200,0.8,0.8,1
10,인간 수녀,8800,1#2#3#6,759.375,384.16,2400,1.3,0.7,1
11,언데드 전사,500,1#2#3#7,150,100,150,1,1.1,1
12,언데드 주술사,2500,1#2#3#7,225,140,300,0.9,1,1
13,언데드 리퍼,5000,1#2#3#7,337.5,196,600,1.1,0.9,1
14,언데드 네크로멘서,7700,1#2#3#7,506.25,274.4,1200,0.8,0.8,1
15,언데드 소울나이트,8800,1#2#3#7,759.375,384.16,2400,1.3,0.7,1
16,마왕,0,1#2#3#8#9,290,0,216000000,0,0,1

